Laptop_Titulo,Laptop_Precio,Laptop_Url,CPU_Modelo,RAM_Capacidad,DiscoDuro_Capacidad,SistemaOperativo,Laptop_Marca,Laptop_TPantalla,Laptop_RPantalla,Laptop_Dimensiones,Laptop_Peso,Laptop_Material,Laptop_Color,Laptop_Bateria
"Laptop Lenovo IdeaPad D330 Convertible 2 en 1, Intel Celeron RAM 8 GB, Disco Slido 128GB","S/ 899.00
          ",https://www.linio.com.pe/p/laptop-lenovo-ideapad-d330-convertible-2-en-1-intel-celeron-ram-8-gb-disco-so-lido-128gb-mzzxcl,"PROCESADOR: Intel Celeron N4020 (frecuencia base de 1.1 GHz, hasta 2.8 GHz, 4 MB de cach, 2 ncleos)",MEMORIA RAM: 8 GB DDR4 - 2133MHz,,SISTEMA OPERATIVO: Windows 10 Pro,MARCA: Lenovo,,"PANTALLA: LED HD de (10.1""), resolucin de 1280 x 800 , IPS, 300 nits, Tctil",,,,,
"Lenovo Ideapad 3 15.6' FHD AMD Ryzen 5 5500U Radeon 7 Graphics 8GB 256GB SSD Lector de huella , Artic Grey-Gris","S/ 2299.00
          ",https://www.linio.com.pe/p/lenovo-ideapad-3-156-fhd-amd-ryzen-5-5500u-radeon-7-graphics-8gb-256gb-ssd-lector-de-huella-artic-grey-gris-n18ju4,"Procesador: AMD RYZEN R5,Modelo del procesador: AMD Ryzen 5 5500U,Generacin del procesador: Serie 5000,Ncleos del procesador: Hexa Co",Memoria RAM: 8GB,,Sistema operativo: Windows 10 Home,Marca: Lenovo,,Resolucin de la pantalla: Full HD (1920x1080),,Peso: 1.65,,,Duracin aproximada de la batera: 9 horas
Lenovo IdeaPad Gaming Ryzen 7 16GB 512GB SSD NVIDIA GeForce RTX 3050 Ti 4GB,"S/ 4699.00
          ",https://www.linio.com.pe/p/lenovo-ideapad-gaming-ryzen-7-16gb-512gb-ssd-nvidia-geforce-rtx-3050-ti-4gb-n2dwb3,Procesador,Memoria,Almacenamiento,Sistema Operativo,,,,,,,,
Lenovo IdeaPad 3i Core i5 8GB 512GB SSD W10 FHD 14,"S/ 2399.00
          ",https://www.linio.com.pe/p/lenovo-ideapad-3i-core-i5-8gb-512gb-ssd-w10-fhd-14-ld2mux,"Procesador: Intel Core i5,Modelo Procesador: i5-1035G1",Memoria: 8GB DDR4,,Sistema Operativo: Windows 10 64 Bits,,,Resolucin: 1920x1080,,,,,
Lenovo Ideapad 5 - Ryzen 5 - 8GB - 256 GB SSD -Graphite Grey,"S/ 2249.00
          ",https://www.linio.com.pe/p/lenovo-ideapad-5-ryzen-5-8gb-256-gb-ssd-graphite-grey-jtq1vf,Procesador,Memoria,Almacenamiento,Sistema Operativo,,,,,,,,
"Laptop Lenovo Ideapad 5 15.6""- Ryzen 7 - 16 GB - 256 GB SSD - Graphite Grey","S/ 2999.00
          ",https://www.linio.com.pe/p/laptop-lenovo-ideapad-5-156-ryzen-7-16-gb-256-gb-ssd-graphite-grey-jt4zcp,Procesador,Memoria,Almacenamiento,Sistema Operativo,,,,,,,,
Lenovo Ideapad 3i 15.6 FHD Intel Core i3 11va 4GB 128GB SSD Abyss Blue,"S/ 1699.00
          ",https://www.linio.com.pe/p/lenovo-ideapad-3i-156-fhd-intel-core-i3-11va-4gb-128gb-ssd-abyss-blue-jrz3oc,"ProcesadorIntel Core i3,Ncleos del procesadorDual Core,Velocidad del procesador3.0 Ghz,Velocidad mxima del procesador4.1 Ghz,Modelo del procesadorIntel Core i3-1115G4,Generacin del procesador11",Memoria RAM4GB,,Sistema operativoWindows 10 Home,MarcaLenovo,,Resolucin de la pantallaFull HD (1920x1080),,Peso1.7,,,Duracin aproximada de la bateraHasta 7.3 horas
Lenovo Legin 5 15Imh05 Intel Core i5 10300H RAM 8GB Disco 1TB HDD + 128GB SSD Video 4GB 15.6 FHD,"S/ 3799.00
          ",https://www.linio.com.pe/p/lenovo-legio-n-5-15imh05-intel-core-i5-10300h-ram-8gb-disco-1tb-hdd-128gb-ssd-video-4gb-156-fhd-jrbz1g,"Procesador: Intel Core i5 10300H 2.50 GHz Turbo Boost 4.50 GHz, 4 Ncleos","Memoria Ram: 8 GB SO-DIMM DDR4-2933,Lector de Memoria: SD Card",Almacenamiento: 1TB + 128GB PCle NVMe SSD,Sistema Operativo: Windows 10 Home,,"Tamao de Pantalla: 15.6""",,,Peso: 2.46 Kg Aprox.,,,Batera: Iones de Litio de 4 Celdas y 60 Wh
"Laptop Lenovo IdeaPad D330 Convertible 2 en 1, Intel Celeron N4020 1.1GHz, RAM 8 GB, Disco Slido 128GB, LED 10.1"" HD (1280X800), Tctil, Windows 10 Pro","S/ 899.00
          ",https://www.linio.com.pe/p/laptop-lenovo-ideapad-d330-convertible-2-en-1-intel-celeron-n4020-11ghz-ram-8-gb-disco-so-lido-128gb-led-101-hd-1280x800-ta-ctil-windows-10-pro-n170b1,"PROCESADOR: Intel Celeron N4020 (frecuencia base de 1.1 GHz, hasta 2.8 GHz, 4 MB de cach, 2 ncleos)",MEMORIA RAM: 8 GB DDR4 - 2133MHz,,SISTEMA OPERATIVO: Windows 10 Pro,MARCA: Lenovo,,"PANTALLA: LED HD de (10.1""), resolucin de 1280 x 800 , IPS, 300 nits, Tctil",,,,,
"Laptop HP 14"" Athlon 256GB SSD 4GB RAM 14-DK1015LA","S/ 1779.00
          ",https://www.linio.com.pe/p/laptop-hp-14-athlon-256gb-ssd-4gb-ram-14-dk1015la-vbu7l5,"Procesador AMD Athlon Silver 3050U (velocidad base de 2,3 GHz, velocidad de rfaga mxima de hasta 3,2 GHz, 1 MB de cach L2 y 2 ncleos),Familia de procesador: Procesador AMD Athlon",Memoria 4 GB de SDRAM DDR4-2400 (1 x 4 GB),Almacenamiento de datos Unidad de estado slido M.2 de 256 GB Dropbox,Sistema operativo Windows 10 Home 64,,,,,,,"Duracin de la batera Hasta 10 horas Dispositivos de entrada Teclado tipo isla de tamao normal color jet black (negro) Mousepad que admite gestos multitctiles,Color de producto Gris pizarra Malla tejida",Duracin de la batera Hasta 10 horas Dispositivos de entrada Teclado tipo isla de tamao normal color jet black (negro) Mousepad que admite gestos multitctiles
Notebook Dynabook Toshiba Tecra A40-G 14' 256Gb 128Gb W10,"S/ 1399.00
          ",https://www.linio.com.pe/p/notebook-dynabook-toshiba-tecra-a40-g-14-256gb-128gb-w10-yoza05,"Procesador: Intel Celeron,Modelo del procesador: Intel,Ncleos del procesador: Quad Core,Velocidad del procesador: 4.2 GHz",Memoria RAM: 265MB,,Sistema operativo: Windows 10 Pro,Marca: Toshiba,,Resolucin de la pantalla: Full HD (1920x1080),,Peso: 1397.064 gr,,,
Laptop Hp 15-Dw1066La Intel Core I5 10210U 8Gb 512Gb Ssd 15.6',"S/ 3099.00
          ",https://www.linio.com.pe/p/laptop-hp-15-dw1066la-intel-core-i5-10210u-8gb-512gb-ssd-156--ophopg,"Procesador: Intel Core i10210U,Modelo del procesador: Intel Core i10210U,Generacin del procesador: 10ma generacin",Memoria RAM: 8GB DDR4,,Sistema operativo: Windows 10,Marca: HP,,Resolucin de la pantalla: 1366 x 768,,"Peso: 1,74 kg",,,Duracin aproximada de la batera: Hasta 8 horas
Laptop Gamer Lenovo Legion 5 Pro - Ryzen 7 - 16 GB - 512 GB SSD - RTX 3070 8GB,"S/ 6999.00
          ",https://www.linio.com.pe/p/laptop-gamer-lenovo-legion-5-pro-ryzen-7-16-gb-512-gb-ssd-rtx-3070-8gb-qgjc6r,Procesador,Memoria,Almacenamiento,Sistema Operativo,,,,,,,,
Laptop Huawei Matebook D14 Intel Core i5 10Gen 8GB RAM 512GB SSD + Regalos,"S/ 2659.00
          ",https://www.linio.com.pe/p/laptop-huawei-matebook-d14-intel-core-i5-10-gen-8gb-ram-512gb-ssd-regalos-jpqnwj,Procesador 10th Generation Intel Core (i5-10210U processor),Memoria 8GB DDR4,Almacenamiento PCIe 512 GBSSD,Sistema operativo Windows 10 Home,Marca: Huawei,Tamao de pantalla: 14.,Resolucin: IPS 1920 x 1080,"Medidas: Ancho, alto y profundidad (322.5 x 214.8 x 15.9 mm)",Peso: 1.38Kg.,Material: Aleacin de aluminio,Color: Gris Espacial,Batera: 56 Wh
