Title,Precio_Prod,len_precio,Availability,Tiempo Entrega,CPU_Fabricante,CPU_Nucleos,GPU_Fabricante,GPU_Tipo
"HP Chromebook 14-inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Chrome (14a-na0020nr, Ceramic White)","$268.99,$169.98",,Only 2 left in stock - order soon.,2,Intel,2,Intel UHD Graphics 600,Integrated
"2021 Dell Inspiron 15 3000 15.6"" HD Laptop Computer, Intel Celeron Processor 4205U, 4GB RAM, 128GB PCIe SSD, Intel UHD Graphics 610, Waves MaxxAudio, HD Webcam, Windows 10, Black","$383.00,$329.00",,In Stock.,3,Intel,2,Intel HD Graphics 610,
